product_id,Льготный период,Кредитный лимит,Обслуживание,Минимальный возраст для получения карты,Максимальный возраст для закрытия карты,Гражданство,Регистрация,Стаж работы на последнем месте,Условия снятия наличных: кредитные средства,Максимальный,За покупки у партнеров,На всё,Способ возврата,Максимальный возврат по кешбэку в месяц,Тип,Обслуживание в первый год,Обслуживание со второго года,Условия снятия наличных: собственные средства,Ограничения на снятие наличных: кредитные средства,"2-НДФЛ, 3-НДФЛ, 4-НДФЛ",Справка по форме банка,"За покупки у партнеров, в категории Такси до",Ограничения на снятие наличных: собственные средства,"За покупки в категориях Кафе и рестораны, Супермаркеты, Транспорт, Такси до"
070cb60c-3487-4e6f-a9d8-f4d227377a3e,55 дней,до 1 000 000 ₽,0 — 590 ₽ в год,18 лет,70 лет,требуется,"временная, постоянная",не менее 3 месяцев,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""2,9%"", ""Минимальная сумма комиссии"": ""290""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""2,9%"", ""Минимальная сумма комиссии"": ""290""}]",: до 30 %,30 %,1 %,баллы,6 000 баллов,,,,,,,,,,
4966ba76-928e-4ada-94e2-2048df61319b,60 дней,до 1 000 000 ₽,,18 лет,70 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""3,9%"", ""Минимальная сумма комиссии"": ""390""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""3,9%"", ""Минимальная сумма комиссии"": ""390""}]",: до 50 %,50 %,,валюта карты,5 000,Мир Classic,бесплатно,990 ₽,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""3,9%"", ""Минимальная сумма комиссии"": ""390""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""3,9%"", ""Минимальная сумма комиссии"": ""390""}]",,,,,,
8b89c6f6-69fa-4142-835d-6b6b5077930e,4 месяца,до 5 000 000 ₽,бесплатно,20 лет,70 лет,требуется,постоянная,не менее 3 месяцев,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""0%"", ""Минимальная сумма комиссии"": ""0""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""0%"", ""Минимальная сумма комиссии"": ""0""}]",: до 30 %,30 %,,,,Мир Классическая,,,,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Ограничение"": ""300 000 в день""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Ограничение"": ""300 000 в день""}]",,,,,
19f65d42-4a94-40e5-817a-4a66ff1a0230,до 3 лет,до 500 000 ₽,бесплатно,18 лет,75 лет,требуется,постоянная в любом регионе присутствия банка,не менее 4 месяцев,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""0%"", ""Минимальная сумма комиссии"": ""399""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""0%"", ""Минимальная сумма комиссии"": ""399""}]",: до 10 %,,,баллы,5 000 баллов,Мир Классическая,,,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Сумма"": ""до 150000"", ""Комиссия"": ""0%"", ""Минимальная сумма комиссии"": ""0""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Сумма"": ""от 150000"", ""Комиссия"": ""1,9%"", ""Минимальная сумма комиссии"": ""0""}]","[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Ограничение"": ""30 000 за одну операцию""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Ограничение"": ""30 000 за одну операцию""}]","по выбору, если требуется один или несколько документов из одной группы","по выбору, если требуется один или несколько документов из одной группы",10 %,,
5429d0db-a91b-4cff-8203-446fdae8d040,120 дней,до 2 000 000 ₽,бесплатно,21 год,69 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""5,5%"", ""Минимальная сумма комиссии"": ""500""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""5,5%"", ""Минимальная сумма комиссии"": ""500""}]",: до 35 %,35 %,,бонусы,2 000 бонусов,Мир Классическая,,,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""0%"", ""Минимальная сумма комиссии"": ""0""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Сумма"": ""Любая"", ""Комиссия"": ""1%"", ""Минимальная сумма комиссии"": ""300""}]",,обязательно,,,"[{"""": ""В банкоматах банка"", ""Валюта"": ""Рубли"", ""Ограничение"": ""3 500 000 в месяц""}, {"""": ""В банкоматах других банков"", ""Валюта"": ""Рубли"", ""Ограничение"": ""3 500 000 в месяц""}]",7 %
