product_id,Тип,Льготный период,Кредитный лимит,Обслуживание в первый год,Обслуживание со второго года,Минимальный возраст для получения карты,Максимальный возраст для закрытия карты,Гражданство,Регистрация,Стаж работы на последнем месте,Условия снятия наличных: кредитные средства,Условия снятия наличных: собственные средства,Максимальный,За покупки у партнеров,Способ возврата,Максимальный возврат по кешбэку в месяц
b51257b0-fed9-46cb-ba40-6c1edc4f1736,MasterСard Platinum/Unembossed,112 дней,от 50 000 ₽ до 299 000 ₽,,,18 лет,70 лет,требуется,постоянная,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '2,5%', 'Минимальная сумма комиссии': '300'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '2,5%', 'Минимальная сумма комиссии': '300'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '2,5%', 'Минимальная сумма комиссии': '300'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '2,5%', 'Минимальная сумма комиссии': '300'}]",: до 1 %,,,
c9b06b97-1abc-4693-b586-491ba9753df6,,212 дней,от 30 000 ₽ до 500 000 ₽,,,21 год,70 лет,требуется,"временная в регионе обращения, постоянная в регионе обращения",Для работающих по найму — стаж на последнем месте работы от 3 месяцев Для пенсионеров — регулярное поступление пенсионных или иных социальных выплат Для индивидуальных предпринимателей — стаж ведения ИП не менее 6 месяцев Для самозанятых — срок регистрации в качестве самозанятых не менее 6 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 30000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'от 30000', 'Комиссия': '4,9%', 'Минимальная сумма комиссии': '590'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]",: до 7 %,,баллы,5 000 баллов
661ec847-0a7e-45a7-9739-1009c4f8661c,Мир Supreme,56 дней,от 300 000 ₽ до 3 000 000 ₽,,,21 год,73 года,требуется,постоянная,От 3 месяцев.,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,9%', 'Минимальная сумма комиссии': '390'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,9%', 'Минимальная сумма комиссии': '390'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,9%', 'Минимальная сумма комиссии': '390'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,9%', 'Минимальная сумма комиссии': '390'}]",: до 5 %,,валюта карты,15 000
56de9849-4033-444f-945b-f291a933cff4,,120 дней,до 1 000 000 ₽,,,18 лет,75 лет,не требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев; в течение одного месяца из последних двух месяцев - если источником дохода является стипендия.,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 50000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'до 50000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 50000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'до 50000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]",: до 3 %,,,
aa1d4c93-3339-4287-b7ba-af39beddfef7,,100 дней,от 5 000 ₽ до 2 000 000 ₽,бесплатно,,21 год,65 лет,требуется,"временная в регионе обращения, постоянная в любом регионе присутствия банка",Не менее 4 месяцев,,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '1%', 'Минимальная сумма комиссии': '300'}]",,,,
cda76c41-4e61-4a1e-9965-897786a0cefc,Мир Virtual,110 дней,до 1 000 000 ₽,,,18 лет,70 лет,не требуется,постоянная,не менее 3 месяцев,,,: до 30 %,30 %,,
13207dc3-bd1e-4f82-92b8-940ed6f0e1fa,Мир Классическая/Virtual,110 дней,от 10 000 ₽ до 1 000 000 ₽,,,18 лет,70 лет,требуется,постоянная в любом регионе присутствия банка,"стаж не менее 3-х месяцев на последнем месте работы. Требование не распространяется на пенсионеров, которые получают пенсию в ВТБ","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 100000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '5,9%', 'Минимальная сумма комиссии': '590'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '1%', 'Минимальная сумма комиссии': '300'}]",: до 50 %,50 %,валюта карты,3 000
7c4ded39-888e-4426-9d6b-fb0cb6654a94,Visa Signature,до 110 дней,до 1 000 000 ₽,,,18 лет,70 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 100000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '5,9%', 'Минимальная сумма комиссии': '590'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '1%', 'Минимальная сумма комиссии': '300'}]",: до 30 %,30 %,валюта карты,30 000
53dd68f2-e6ee-4285-adac-6db69964f625,Мир Supreme,110 дней,до 1 000 000 ₽,,,18 лет,70 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 100000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '5,5%', 'Минимальная сумма комиссии': '590'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '1%', 'Минимальная сумма комиссии': '300'}]",: до 30 %,30 %,валюта карты,30 000
dc198090-1f85-4229-af6f-b57f1902744c,Мир Классическая,200 дней,от 10 000 ₽ до 1 000 000 ₽,,,18 лет,70 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,,,: до 50 %,50 %,валюта карты,3 000
ea090ad6-fdae-4c26-9f8e-51c5bf38d0b9,Мир Классическая,115 дней,от 50 000 ₽ до 1 000 000 ₽,,,21 год,66 лет,требуется,постоянная,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '5%', 'Минимальная сумма комиссии': '500'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '5%', 'Минимальная сумма комиссии': '500'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'до 50000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]",: до 30 %,,,
f62aa11e-8b13-49ff-bf9b-f16cf9319cee,Мир Supreme,115 дней,от 30 000 ₽ до 1 000 000 ₽,,,21 год,66 лет,требуется,постоянная,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '4,9%', 'Минимальная сумма комиссии': '490'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '4,9%', 'Минимальная сумма комиссии': '490'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]",: до 30 %,,бонусы,17 000 бонусов
8468f42c-9eb1-45c9-b041-0dd5714eb0b1,,415 дней,до 1 000 000 ₽,,,18 лет,70 лет,требуется,постоянная,от 3-х месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 50000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'до 50000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]",: до 5 %,,валюта карты,10 000
df665bbe-6fa4-40d4-9644-8c3c028b38be,Visa Classic,50 дней,до 300 000 ₽,,,18 лет,65 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,,,,,,
